Step: 1440, Loss: 0.0712 (Seg: 0.0566, Score: 0.2907), Batch IoU: 0.3863, Mean IoU: 0.4636
Step: 1450, Loss: 0.0435 (Seg: 0.0316, Score: 0.2388), Batch IoU: 0.4711, Mean IoU: 0.4636
Step: 1460, Loss: 0.0307 (Seg: 0.0192, Score: 0.2301), Batch IoU: 0.6237, Mean IoU: 0.4652
Step: 1470, Loss: 0.0432 (Seg: 0.0287, Score: 0.2886), Batch IoU: 0.5133, Mean IoU: 0.4657
Step: 1480, Loss: 0.0417 (Seg: 0.0313, Score: 0.2091), Batch IoU: 0.4332, Mean IoU: 0.4654
Step: 1490, Loss: 0.0412 (Seg: 0.0246, Score: 0.3316), Batch IoU: 0.5816, Mean IoU: 0.4666
Step: 1500, Loss: 0.0402 (Seg: 0.0263, Score: 0.2792), Batch IoU: 0.5150, Mean IoU: 0.4670
Step: 1510, Loss: 0.0679 (Seg: 0.0560, Score: 0.2387), Batch IoU: 0.3992, Mean IoU: 0.4664
Step: 1520, Loss: 0.0448 (Seg: 0.0312, Score: 0.2717), Batch IoU: 0.5291, Mean IoU: 0.4670
Step: 1530, Loss: 0.0511 (Seg: 0.0392, Score: 0.2366), Batch IoU: 0.4120, Mean IoU: 0.4664
Step: 1540, Loss: 0.0503 (Seg: 0.0358, Score: 0.2917), Batch IoU: 0.3953, Mean IoU: 0.4657
Step: 1550, Loss: 0.0458 (Seg: 0.0348, Score: 0.2205), Batch IoU: 0.4829, Mean IoU: 0.4659
Step: 1560, Loss: 0.0491 (Seg: 0.0329, Score: 0.3233), Batch IoU: 0.5362, Mean IoU: 0.4666
Step: 1570, Loss: 0.0531 (Seg: 0.0409, Score: 0.2425), Batch IoU: 0.4060, Mean IoU: 0.4660
Step: 1580, Loss: 0.0519 (Seg: 0.0380, Score: 0.2775), Batch IoU: 0.3767, Mean IoU: 0.4651
Step: 1590, Loss: 0.0414 (Seg: 0.0315, Score: 0.1987), Batch IoU: 0.4148, Mean IoU: 0.4646
Step: 1600, Loss: 0.0380 (Seg: 0.0269, Score: 0.2212), Batch IoU: 0.5069, Mean IoU: 0.4650
Step: 1610, Loss: 0.0545 (Seg: 0.0397, Score: 0.2959), Batch IoU: 0.4304, Mean IoU: 0.4647
Step: 1620, Loss: 0.0466 (Seg: 0.0345, Score: 0.2428), Batch IoU: 0.4652, Mean IoU: 0.4647
Step: 1630, Loss: 0.0471 (Seg: 0.0332, Score: 0.2775), Batch IoU: 0.5210, Mean IoU: 0.4652
Step: 1640, Loss: 0.0496 (Seg: 0.0362, Score: 0.2671), Batch IoU: 0.4809, Mean IoU: 0.4654
Step: 1650, Loss: 0.0494 (Seg: 0.0331, Score: 0.3258), Batch IoU: 0.4562, Mean IoU: 0.4653
Step: 1660, Loss: 0.0323 (Seg: 0.0206, Score: 0.2343), Batch IoU: 0.6225, Mean IoU: 0.4669
Step: 1670, Loss: 0.0564 (Seg: 0.0457, Score: 0.2150), Batch IoU: 0.4057, Mean IoU: 0.4663
Step: 1680, Loss: 0.0499 (Seg: 0.0372, Score: 0.2545), Batch IoU: 0.4684, Mean IoU: 0.4663
Step: 1690, Loss: 0.0817 (Seg: 0.0669, Score: 0.2954), Batch IoU: 0.3830, Mean IoU: 0.4655
Step: 1700, Loss: 0.0697 (Seg: 0.0559, Score: 0.2752), Batch IoU: 0.3631, Mean IoU: 0.4644
Step: 1710, Loss: 0.0396 (Seg: 0.0270, Score: 0.2527), Batch IoU: 0.4905, Mean IoU: 0.4647
Step: 1720, Loss: 0.0566 (Seg: 0.0455, Score: 0.2238), Batch IoU: 0.4506, Mean IoU: 0.4646
Step: 1730, Loss: 0.0443 (Seg: 0.0326, Score: 0.2332), Batch IoU: 0.4801, Mean IoU: 0.4647
Step: 1740, Loss: 0.0412 (Seg: 0.0276, Score: 0.2720), Batch IoU: 0.4446, Mean IoU: 0.4645
Step: 1750, Loss: 0.0549 (Seg: 0.0428, Score: 0.2417), Batch IoU: 0.4154, Mean IoU: 0.4640
Step: 1760, Loss: 0.0497 (Seg: 0.0399, Score: 0.1949), Batch IoU: 0.4303, Mean IoU: 0.4637
Step: 1770, Loss: 0.0470 (Seg: 0.0347, Score: 0.2460), Batch IoU: 0.4556, Mean IoU: 0.4636
Step: 1780, Loss: 0.0383 (Seg: 0.0250, Score: 0.2672), Batch IoU: 0.6224, Mean IoU: 0.4652
Step: 1790, Loss: 0.0600 (Seg: 0.0443, Score: 0.3149), Batch IoU: 0.4102, Mean IoU: 0.4646
Step: 1800, Loss: 0.0452 (Seg: 0.0328, Score: 0.2480), Batch IoU: 0.4780, Mean IoU: 0.4648
